
x,y,timestamp
1440.8992309202292,759.4747000848761,1330290.6999999993
1364.769412355522,765.5276566057123,1330409.5999999996
1324.6326004306693,768.7064825048914,1330535
1343.43754906163,722.5902248824746,1330633.1999999993
1396.9101156571348,713.9190457467487,1330738.6999999993
1401.53064734114,731.147713817416,1330891.3999999985
1397.7831721913988,742.2341611648447,1331002.1999999993
1406.9067228459414,756.1273252249497,1331108.6999999993
1454.1501361400815,832.9362855509397,1331222
1536.6465374211448,903.345173204284,1331366.6999999993
1573.323680576851,988.270664403891,1331492.5999999996
1650.7582607637414,1034.6003454010229,1331579.6999999993
1686.7247405831683,1092.6126083986112,1331686.8999999985
1719.0228056428641,1123.677720749268,1331792.8999999985
1752.090694882081,1126.7263480654449,1331952.7999999989
1764.3815647288982,1103.4598265875081,1332059.6999999993
1712.4357450128032,1052.1166599101307,1332153
1674.5572145891538,1099.018736118874,1332244.7999999989
1685.364942893012,1069.7414626162454,1332340.7999999989
1664.9598883297547,1024.8463579520203,1332437.7999999989
1638.4146194720477,960.3990520007771,1332513.1999999993
1633.0705563933807,904.0834445748569,1332636.1999999993
1568.5528893777998,853.1877949702144,1332785.3999999985
1584.4314470536312,860.5849621210369,1332908.0999999996
1636.2350838269854,914.9957008775505,1332996.2999999989
1615.539261075477,904.2040785718143,1333088.2999999989
1608.9167860657617,925.7724977910862,1333201.5999999996
1670.136999964287,889.0881998737458,1333331.8999999985
1668.4679039380767,873.8608192715946,1333420.0999999996
1757.529178137056,945.5048972121976,1333513.3999999985
1851.1165473168517,1005.8042036914268,1333621.1999999993
1879.3630499200062,1060.858290320285,1333727
1894.246158405756,1075.944237327618,1333834
1848.0736025134847,1084.070405877153,1333941.2999999989
1820.3956736513685,1082.1523318008717,1334047.8999999985
1748.1825502938555,1077.0989431404216,1334140.5
1700.6254030458222,1046.923115797873,1334235
1686.1458352538016,1022.4062286404235,1334340.0999999996
1634.3277074160842,987.6919832990943,1334434.1999999993
1567.0811154071964,946.8976523795938,1334526.7999999989
1531.1317230944123,902.5740431044336,1334620.2999999989
1392.8295558161003,870.5125344199042,1334727.6999999993
1351.7128722629227,900.2232096784613,1334833.3999999985
1248.8071041287299,742.1971277961571,1334929
1235.9854533697167,659.0647920307125,1335034.3999999985
1207.0626948151787,680.8247993809379,1335141.5999999996
1171.382658481697,733.4471229310963,1335247.2999999989
1181.230868566103,809.9386095469254,1335354.5999999996
1201.123367546866,880.1751130152174,1335462.1999999993
1209.5673282215355,908.6760072901662,1335568.1999999993
1217.5690431352027,920.8540620699373,1335674.6999999993
1198.6991406390432,899.4267527747157,1335781.8999999985
1149.169410669572,906.4580027238154,1335873.8999999985
1062.362638745688,936.9151091022543,1335969.5
1101.7185280264828,1004.8002561478033,1336063.5999999996
1127.4575086942364,1054.3592200877035,1336156
1211.608732278263,1089.447978679598,1336248.1999999993
1249.6182946236324,1054.1302339026442,1336343.5
1345.9397170100517,1039.89584089157,1336436.3999999985
1445.1400026969288,881.810990038633,1336541.5
1546.0539207872127,791.4425994376228,1336649.1999999993
1659.6498855422233,763.8611642661306,1336755.0999999996
1706.7000842030156,702.47652961483,1336890.8999999985
1583.175163349832,606.6279902885365,1337020.7999999989
1563.1340260154136,638.5921522927875,1337151.6999999993
1484.8551834731395,632.9441789654588,1337283.6999999993
1349.7316934397218,623.9212693359924,1337391.3999999985
1254.0378448258512,622.3457610868863,1337495.8999999985
1171.1870818844307,585.7154603850465,1337635.0999999996
